,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
2076,ea031d42-f211-4b4a-b2c6-756fe3ff859b,11/2011,Diesel,Automatik,135 kW (184 PS),1.995 cm³,Schwarz Metallic
2077,baa0485c-fb76-4ccf-9ec1-0dd1385051ab,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
2078,28a8517b-30f9-47f7-a849-35b1c63fac28,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2079,bb8f4fd5-7ec9-4f83-8762-892d68cbf31a,05/2012,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Silber Metallic
2080,34cc2e4a-2dfd-4434-81e3-66f0289c2d2a,03/2013,Benzin,Schaltgetriebe,118 kW (160 PS),1.390 cm³,Weiß
2081,6039a735-227d-4803-af8c-3604d7242a4b,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2082,c47c7460-27c4-41da-9400-376f9b902a4d,08/2018,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Schwarz Metallic
2083,593b52e1-c05c-4878-a095-4cf83349b6e1,10/2020,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Schwarz Metallic
2084,a5e447c1-f6f6-4f2a-9c74-4569d1fa84f1,,,,,,
2085,4e595569-5d3c-408e-91ae-ed9bd20e623c,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2086,398e2875-d0f4-47b7-83d9-4e5488b9cb91,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2087,83d09777-1716-4db0-9fd7-56bece92f2f6,07/2013,Benzin,Automatik,165 kW (224 PS),1.984 cm³,Rot Metallic
2088,841e9e69-ee30-432f-9f52-3542580ae261,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
2089,e59aeb50-6dd3-41c5-b930-c2cecfeb8998,09/2013,Benzin,Automatik,90 kW (122 PS),1.395 cm³,Blau Metallic
2090,83bfe40d-f8c8-4e80-a113-ad45895d64b3,04/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Weiß
2091,31fcf9a2-25b8-4231-b754-0a96042914be,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2092,bc0671c7-15ee-4f5c-8d13-727ce62d226c,07/2013,Benzin,Schaltgetriebe,90 kW (122 PS),1.390 cm³,Grau Metallic
2093,abca95ae-3156-462b-854a-ca3f6a2c8586,,,,,,
2094,bfe81b43-dcb2-4ec0-81c9-d1ae80453e71,04/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Weiß
